,userName,score,at,content
0,Fernando Sihotang,3,2022-10-30 08:10:13,"Filmnya ga lengkap,masa ga ada film the lord of the rings yg baru rilis bulan kemaren. And lebih baik nonton lk21 di chrome gratis lengkap.Ada nyesel juga jadi langganan"
1,Ganda Ganda,5,2022-10-30 05:37:25,Bagus bgt aplikasi nyağŸ¤©ğŸ¤©
2,Indra Tri,5,2022-10-29 17:49:13,Beberapa subtitle pada film tidak memiliki background hitam jadi sulit untuk membaca subtitle saat di film Mohon tambahkan garis tepi (outline) pada subtitle agar lebih jelas Terimakasih
3,Ujung Ujung,1,2022-10-29 10:17:19,"Kyk mana masuknya bg dh masukan Imel tetap gak bisa.ktnya hampir selesy,dah ulang berapa kali tetap gk bisa masuk."
4,Rayi Na,1,2022-10-29 07:45:37,Kok gbisa login sih?!padahal sandi Ama email udah bener anj
5,Intan Berlin,1,2022-10-29 03:58:50,Ini giamna si udh di download udh bayar juga ttp aja ga bisa masuk gimana caranya biar bisa masuk
6,Ramadhan Faiz,1,2022-10-28 15:07:29,Tiap mau login knp mental balik lagi balik lagi gbisa masuk
7,ryzka Ika7,3,2022-10-28 12:12:04,Maaf sya kasi bintang 3..saya kira ini aplikasi gk berbayar..ternyata harus bayar dlu baru bisa masuk aplikasinya.. Saya cari yg ada gratisnya..
8,anggi rere,1,2022-10-28 10:23:01,Tidak bisa buka netflix pake indihome
9,Jafar Orlin,5,2022-10-28 09:17:09,"Saya sangat suka dengan penangan customer service nya , kejadian nya saya double langganan Netflix yang pertama melalui Telkomsel yang kedua melalui gopay , saya hubungi cs nya , dan langsung di refund saat itu juga"
10,Adelian Khotimah,1,2022-10-28 08:10:46,gabisa login duit gue abis 200 buat ini doang t4i
11,Seoulotus,5,2022-10-27 22:36:20,Netflix kalo bisa ada paket langganan setahun full dong. Soalnya kalo sebulan kadang kalo lagi gak mood nonton malah terbuang sia-sia aja langganannya. Gak semua orang mood terus buat nonton
12,Adi firansyah,1,2022-10-27 15:53:21,Bagus dan terbaik
13,Muhammad ghufron,1,2022-10-27 13:57:50,Subtitle nya putih kadang ga keliatan huuu ğŸ‘
14,Ahmad Qory,1,2022-10-27 10:50:41,"Rada kecewa karna film yg di cari ga ada, padahal di youtube udh keluar trailer nya. Dan rillis bulan Maret. Tapi ini saya cek ga ada."
15,fadhilul rocky,5,2022-10-27 05:17:40,"buat kalian yang punya masalah sama subtitle yang gaada shadownya, kalian bisa atur sendiri kok, caranya login akun Netflix di web trus pilih profil, disitu ada menu subtitle tinggal di nyalain aja shadow nya, close apl netflix tunggu beberapa jam nanti bakal ke apply sendiri shadow nya, yuk jangan jadi orang yang apa apa langsung down rate, minimal bisa problem solving sendiri."
16,Maulizaa Liza,1,2022-10-27 03:36:07,Knp netflix gabisa masuk padhal sudah saya daftr
17,ICIKIWIR FAMS,1,2022-10-27 02:11:30,"Gak bisa login, error' terus"
18,muhammad agung budiman,5,2022-10-26 17:43:51,subtitle tolong diperbaiki
19,Inne Nurfaida,5,2022-10-26 12:35:36,Sejauh ini entah kenapa yang paling nyaman buat nonton cuma netflix walaupun beberapa drakor pavorit belum masuk ke netflix
20,diva oktadila,5,2022-10-26 10:20:06,"Baguss,sangat bagus.jadi apk kesayangan dehh!!!!bisa buat nemenin kalo lagi nangis wkwkwk,apk nya juga bagusss.menurut saya untuk di beri bintang 1 kurang tepat jadi harus diber bintang 5!!!"
21,Rico Tude,4,2022-10-26 06:58:25,Boleh lah kasih background hitam pada subtitle asalkan background nya dibuat agak transparan gitu
22,Dion Gaming,1,2022-10-26 05:41:05,Gak jlas apk nya. Daftar aja ribertt. Masa bayar dlu baru bsa masukk Apk yg lain gak kaya gtu..mnding gw hpuss aja
23,dadang Rahmadi,4,2022-10-25 12:48:46,"Uninstall saya kira nonton nonton aja ternyata ber bayar, nanti nanti aja deh kalau tv android aku dah Dateng kerumah"
24,Afgan Vivo,1,2022-10-25 10:49:37,"Saya sudah coba untuk mendaftar tapi kok gk bisa terus, padahal sandi saya sudah benar tapi terus dibilangnya sandi salah. Tolong di perbaiki ya, nyesal saya download ini..."
25,JAMIL SYAHRIZAL,3,2022-10-25 09:33:20,Tolong sediakan untuk mengubah kualitas video
26,alfiansyah,2,2022-10-24 14:40:43,"Semua fitur sudah lengkap dan filmnya juga banyak, tetapi saya sangat tidak nyaman dengan warna subtitlenya yang putih karena sangat kontras dengan film yang kita nonton sehingga kita tidak bisa membaca subtitlenya. saya lebih suka model subtitle yang dulu, ada background hitam di belakang tulisan yang berwarna putih sehingga kita mudah melihat subnya. Terima kasih"
27,Abu Dhani,1,2022-10-24 14:35:23,Kntl subtitlenya warna putih cacad anj nyatuh sama warna flimnya kadang gabisa dibaca anjingg
28,Riezka maulidina,3,2022-10-24 12:19:07,Entah kenapa di mi tv sama hp saya netflix nya tidak bisağŸ¥²
29,Anak Padang,1,2022-10-24 11:44:30,"Langganan bulan pakai uang, kuota internet pakai uang juga. Saran: beli paket neflix' sekalian bonus kuota.. Biar tidak boros. Baru banyak peminatnya."
30,aldo aldi wahyunidewi,5,2022-10-24 11:06:39,Keren banget bisa nonton apa aja cocok SAMA gw
31,Fidel Sitorus,2,2022-10-24 10:04:40,"Mau masuk aja kenapa harus berlangganan sih, jadi susah nih. Udh berlangganan ehh, malah ada masalah jaringan gitu. Hmmm, tolong perbaiki lagi dong"
32,Irma Hirna,1,2022-10-24 08:42:56,"Aku kasih bintang 1 karna udah login berapa kalipun ga bisa kebuka, harus selalu daftar ulang"
33,bambang imut,2,2022-10-24 04:20:45,Ini beberapa film/drama bawaan netflix asli kok gak ada ya? Kyk hospital playlist pdhal mo nonton lagi. Pdhal udh update tp ttp gal ada
34,Destiny Girl,1,2022-10-23 23:40:37,Nggak bis adaftra atau login asu
35,Hendra Setiawan,1,2022-10-23 07:05:32,Susah sekali buat login payah
36,Muhammad Rimanu,2,2022-10-23 06:04:18,Padahal subtitle sudah diseting ada baground warna hitam tetap saja gak muncul malah semua ngeblur subtitle nya
37,Abdul Aziz,1,2022-10-23 02:35:05,"subtitle untuk anime mohon di perbaiki, subtitle warna putih tidak bisa dibaca, di setiap scene yg warna terang atau putih !"
38,SDY ALYN,1,2022-10-22 19:05:01,Aplikasi sangat tidak berguna
39,prayoga pratama,2,2022-10-22 15:32:25,"Ribet, masih bagus dan simple disney hotstar"
40,Rimadayana01 Rimadayana01,5,2022-10-21 23:09:59,Aplikasi sangat suka
41,Anand nurliyan,1,2022-10-21 21:30:31,"Sekarang Netflix suda tidak jelas, padahal saya suda berlaganan hampir 6 dan di minta di rubah paketan dan suda di rubah paketan nya tetapi sekarang suka eror bahkan kalo buka Netflix suka tidak bisa dan kalo bisa pun mau nonton Vidio online terjadi kesalahan terus dan mau pun itu Vidio yg suda di download selalu terjadi kesalahan, maupun itu suda di hapus dan di download ulang. Saya lapor di email tapi tidak bisa dan tidak ada respon, mohon respon nya pak/ibuğŸ™"
42,h a r t a n t i,5,2022-10-21 14:57:07,"Abis bebenah,anak tidur emang paling pas nonton netflix wkwk"
43,Nur Amalina Febriyati Rahajeng,4,2022-10-21 13:55:45,Netflix saya dibuka kok kembali ke beranda lagi
44,Depot Tirta,1,2022-10-21 10:21:58,Ga bisa masuk kenapa sih padahal akun dan sandi udh benar....selalu ada tulisan HAMPIR SELESAI.. Maksud nya apa ya????
45,Pasya boda,1,2022-10-21 09:22:23,"Saya kasih bintang satu karena,kenapa Netflix itu pake bayar sadangkan yang lain itu ga pake bayar, akun juga udah daftar aku tapi nggak ke masuk masuk ke apk nya, mohon maaf untuk apk ini tidak pake bayar lagiğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•ğŸ–•"
46,Dzul Arsyl Majid,1,2022-10-20 19:29:06,"LOL percuma bayar mahal tapi filmnya ga lengkap, pantes aja pada milih buat beli bajakan langganan netflix dari pada beli langganan di netflik langsung"
47,Nathan Tangkilisan,1,2022-10-20 16:24:52,Ga ada yg nonton tpi ada pemberitahuan banyak yg memakai akun..
48,Dian Novia Sartika,5,2022-10-20 10:30:13,"Bertahan bahkan diarea yg limit sinyal. Salute, resolusi tetap tajam, pilihan variatif, worth it."
49,Kokweng Gonzales,3,2022-10-20 05:53:02,Gambar jelas kebanyakan film lama
50,Clarissa Valeria,5,2022-10-20 02:30:43,Lebih update lagi untuk drakor terbaru yang on going. Karna banyak banget drakor on going tapi di netflix tidak ada. Utk keseluruhan semua nya bagus. ğŸ˜
51,Mugi Yono,1,2022-10-19 22:49:16,Susah msk sangat di sayangkan
52,Lia Psa,4,2022-10-19 12:48:46,ğ‘»ğ’ğ’ğ’ğ’ğ’ˆ ğ’…ğ’ğ’ğ’ˆ ğ’–ğ’ğ’•ğ’–ğ’Œ ğ’–ğ’ğ’…ğ’†ğ’“ğ’˜ğ’ğ’“ğ’ğ’… ğ’”ğ’‚ğ’ğ’‚ ğ’•ğ’‰ğ’† ğ’•ğ’˜ğ’Šğ’ğ’Šğ’ˆğ’‰ğ’• ğ’…ğ’Šğ’ğ’†ğ’ğ’ˆğ’Œğ’‚ğ’‘ğ’Š ğ’”ğ’†ğ’‚ğ’”ğ’ğ’ ğ’ğ’šğ’‚
53,El Nozie,1,2022-10-19 10:48:58,"Ribet suruh bayar dulu..lah mending pake viu ga mau beli paket premium tp masih bisa menikmati film yg gratis,,"
54,Muhammad Farhan,1,2022-10-19 08:56:18,udah daftar ngga bisa masuk
55,Robert Herman,5,2022-10-19 05:59:19,"agak mahal untuk berlangganan.. tapi layanan nya banyak variasi dan bagus, cocok untuk hiburan atau nonton bersama.."
56,Suvi Lucky,5,2022-10-19 02:10:17,Netflix mendukung film2 dengan resolusi yg sangat tinggi dan mendukung fitur2 Dolby vision serta kodel Lp1 yg membuat pengalamam menonton saya jauh lebih nikmattt
57,Pemean Teles,1,2022-10-19 01:21:09,"Pendaftaran udah mudah, tapi subtitlenya gabisa kebaca. Kacau dah"
58,mr. sandiago,1,2022-10-18 22:58:27,"Banyak film yang belum update, bintang akan saya ubah setelah seluruh film update"
59,Mahesa Mahes,2,2022-10-18 17:32:12,"Login lu Benerin, ga jelas gua gabisa masuk malah stuck, gajelas"
60,dedi prasetyo,1,2022-10-18 08:22:53,Filmnya bawaÂ² nama Tuhan. Itu gimana saya sangat kecewa dgn aplikasi ini Lain kali kalo buat fillm yg bnr
61,Ita Aja,3,2022-10-18 04:28:20,Lumayan bagus film barunya aja harus diperbanyak
62,Mr Day,3,2022-10-18 03:27:44,Apps bagus cm harga paket mahal dan kualitas gambar tdk sebening disney
63,Erick Theza Permadi,1,2022-10-17 17:35:00,Setelah pendaftaran dan sudah bayar baru 2 hari eror minta update dan pas di update ko login ulang dan suruh bayar lagi sih . Tolongpihak netflik gimana ini
64,Mnaufal Hisyam,1,2022-10-17 14:13:29,"Udah bayar mahal tapi gabisa masuk stuck di logo netflix mulu, hadeh rugi"
65,Maulida Vn10,3,2022-10-17 12:48:28,"waktu saya nonton film or series dan saya stop ditengah"" mau dilanjutkan nanti eh pas mau ngelanjutin selalu kembali keawal terus jadi lupa sebelumnya sampe mana nontonnya dan subtitle nya juga warna putih gk kelihatan klo backgroundnya juga putih"
66,Players Gaming,1,2022-10-17 10:39:59,"Font nya gak ada pilihan nya, cuman warna putih, pas nonton jadi gak nyaman kadang gak jelas, Rugi udah download."
67,Digi Cellular,5,2022-10-17 06:55:46,Tapi saya kok gk bisa masuk ya ... Padahal udh daftr pakek email
68,Dwi Mulyanto,5,2022-10-16 13:35:49,"Gambar HD, pilihan film banyak dan update"
69,Muhamad Pramana,5,2022-10-16 10:30:22,Subtitlenya mohon di beri border biar lebih nyaman dan jelas bacanya
70,Agoes Rachmat,3,2022-10-15 23:30:33,Tulong untuk tulisan sub nya dikasih latar hitam. Susah kebaca sub nya
71,alfiana trisnawati,1,2022-10-15 13:50:30,Mendadak videonya suka keluar sendiri
72,Hendra Gunawan,1,2022-10-15 12:50:04,Ini netflix dari td ngk bisa daftar ulang ..parahhhh tlg dong team netflix
73,Bawi Linggama,5,2022-10-15 12:11:54,"Sangat puas menggunakan Netflix, mulai dari series dan film original yang banyak dan menarik, sampai tampilan UI yang bagus dan gak ribet."
74,Azkhayri Toko,1,2022-10-15 11:58:41,"Jika berhenti berlangganan, lalu berlangganan lagi tidak bisa ganti paket, jenis pembayaran pun gak bisa diganti, menyebalkan"
75,Bobby Saputra,3,2022-10-15 08:05:22,Substitlenya itu loh coba d ganti warnanya
76,Zye,2,2022-10-15 06:08:47,"Film ny tidak lengkap, semua film yg saya ingin tonton 80% tidak ada, yg ada hanya film yg tidak jelas alurnya"
77,alfizar AL,5,2022-10-15 05:54:11,Kualitas gambar bagus cuma biaya langganan mahal
78,Fatchah Sakinah,5,2022-10-15 03:09:54,Yg kasih bintang 1 cuma langganan murahan di shopee Nyatanya ini aplikasi yg sangat menghibur
79,Desi Kristiyanti,4,2022-10-15 02:32:33,Kenapa aplikasi ini pakai mode atur otomatis pencahayaan HP yağŸ˜­ kalo lagi nonton di luar dengan cahaya terang layar jadi gelap.. apa cuma HPaku aja yg begituu?
80,Rani Apwani,1,2022-10-15 01:42:52,Sangat jelek saya susah masuk ke netflix
81,Sapni Sapni,5,2022-10-14 13:29:16,"Akhirnya bisa langganan netflix tidak perlu pakai mastercard,bisa gopay, dana, ovo"
82,Alesa Eca,3,2022-10-14 13:23:51,"Buat saya film bagus bagus tapi kenapa film yang saya cari tidak ada seperti ivana, pengabdi setan 2, jelangkung sandekala, dan dll tolong ditambah fitur bahasa Indonesia"
83,naswa fier,5,2022-10-14 12:06:55,"Suka, dan selalu suka dengan pilihan series dan filmnya. Kwalitas gambarnya jg bagus dan jernih."
84,vikry Gamers17,1,2022-10-14 11:47:19,"Apk gajelas , udh daftar lewat email berulang"" kali masih jga gabisa masuk , pemberitahuan (HAMPIR SELESAI) trus aja bgitu ."
85,Fian Kusuma,1,2022-10-14 11:41:24,"Agak kecewa, tayangan episode beberapa tudak ada"
86,Kadal Ganjen,1,2022-10-14 11:36:44,Login gagal terus ganti sandi terjadi kesalahan terus...
87,faridah silaban,1,2022-10-14 07:38:25,"filmnya rata2 film ga laku. yg lagi booming ditempat lain,di netflix malah ga ada. spt big mouth, my girls friend alien,gaus electeronik dll. jd malas nerusin langganan krn ujung2nya download apk lain buat nonton"
88,Syam Dinda,3,2022-10-13 23:47:08,"Selamat pagi Semalam saya liat promo Netflix di IG, lalu saya transfer sejumlah uang, tp kenapa msih belum bisa nonton ya?? Dan setelah itu saya cari lg promo tersebut, tdak ketemu lg, soalnya di situ tertulis promo hanya ""hari ini"" (kemarin 13 october 2022) Saya sdah bls email dan dm di IG tp belum ada respon"
89,Silviana_ putri,2,2022-10-13 13:30:09,Hai developer Saya ingin langganan Netflix tapi kenapa saat sudah pada tahap akhir proses nya lama sekali? Alias lemot banget. Padahal udah pengen cepet-cepet nonton ?
90,Ririn Widiya,1,2022-10-13 10:34:47,"Netflixx berbayar tp animenya tidak update huuffttt mohon tingkatkan lagi,masa keduluan ama facebook yg gartis"
91,shintia carolina,1,2022-10-13 10:24:33,"Parah ni apk Dah jelas"" pasword gmail gw bener tpi dibilang salah.. Dasar apk gila.. Gw delet ja drpd gw ikutan gila"
92,jagat satria dinata,1,2022-10-13 07:47:15,"kang tutor masuknya dong aku gak bisa masuk padahal udah daftar pas gitu lama banget mau masuk ada tulisan ""hampir selesai"" padahal lama udah 1 jam masih gitu mulu hadi ku kasih bintang 1"
93,Ayu Ayu,1,2022-10-12 21:36:24,Udh Ddftarin malah ttep g bsa masuk
94,I gede Atmaja,1,2022-10-12 15:00:24,Aplikasi lagi coba semoga bagus dapat dipakai
95,emil rachmi,3,2022-10-12 14:16:20,Abis update kok malah ga bisa di buka lg sih aplikasinya...what hepen ayak naonnn netflixğŸ˜¢
96,el hadiid,1,2022-10-12 13:34:45,Tidak bisa dibuka aplikasinya
97,Muhammad Farhan,4,2022-10-12 13:33:01,Tapi kurang lengkap film nya Tolong di lengkap kan lahğŸ™ğŸ™ğŸ™
98,Amanda Maharani,2,2022-10-12 13:24:00,"Sangat buruk, banyak sekali filem yang tidak ada sub indonesianya!!"
99,Mohammad Lutfi Zulfikri,2,2022-10-12 10:23:59,Subtitle tidak terlihat jika latar belakangnya putih
100,sriyani viranata,5,2022-10-12 09:51:01,"3 paket aon ada netflix, ijin tanya netflix ada serigala terakhir season 2 gak? Sama pertaruhan?"
101,Ihwan Nh,1,2022-10-12 07:48:36,Kalian yg gak punya duit model saya. Jangan download apk ini. Percuma!
102,tya astria,5,2022-10-11 18:22:03,Awalnya coba2 ajja langganan 1 bulan... eh jdi ketagihan dech skrng
103,Susanto Alang,1,2022-10-11 17:29:38,Saya sudah lama berhenti berlangganan tapi tiba-tiba ada notifikasi pengambilan dana oleh netflix
104,VEPY Citra novita,1,2022-10-11 14:38:01,Aplikasi nya jelek sekali masa ngak bisa masuk kan sudah login
105,yesi gusmaini,1,2022-10-11 13:20:28,"Netflixnya g bs d akses dari vivo v21, tiba2 banget 3hari belakangan ini"
106,Vaxaro_nothing,3,2022-10-11 09:25:58,subtitlenya tolong supaya bisa dikasih shadowlah biar bisa kebaja atau bikin fitur setting subtitile
107,Meyfia Lesya,3,2022-10-11 08:21:47,Sayang sekali netflix diindonesia dibedakan dgn di west country akhirnya beberapa movie ga bisa di tonton. Yg asia kebanyakan korea
108,Khusni My sarina,1,2022-10-11 07:57:34,Kirain nonton gratis ternyata harus bayar dulu gk jadi download sih Ribet juga daftar nyağŸ˜
109,Dian Tyara,5,2022-10-11 07:13:06,Bagus keren dan luar biasa!
110,Yannas Muhdar,1,2022-10-10 23:13:11,"Kurang bagus, soalnya harus langganan dulu baru boleh masuk"
111,Moon Light,3,2022-10-10 21:21:13,"Appnya bagus sih banyak film-film ada gamenya... tapi subtitlenya ğŸ˜­ kalo nonton film horror mungkin 100% bisa keliatan tapi kalo nonton yang lain tidak bisa di liat apa lagi waktu scene awan-awan, scene yang terang-terang subtitlenya auto invisible mode ğŸ˜… di kasih pengaturan untuk subtitlenya kek kalo netflix yang di inggris ada pengaturannya masa yang indo tidak ada"
112,Andi Mustofa,1,2022-10-10 13:38:20,"metode pembayaran apapun semua nggak bisa digunakan, notifikasinya selalu terjadi kesalahan"
113,Ulli Nuha,3,2022-10-10 13:14:29,"Koleksi filmnya gak lengkap,,,the Conjuring tidak ada,,, koleksi film Bollywoodnya juga sedikit,,, perbanyak lagi koleksinya"
114,Jae Jae,1,2022-10-10 05:47:10,Udah capek-capek download tapi gak bisa masuk assuuuu
115,Susilowati Sanjaya,1,2022-10-10 03:42:42,"Jangan tautkan Netflix ke dana atau pembayaran otomatis manapun, saldo sy tersedot di dana pdhal sy tdk melakukan transaksi pembayaran Netflix!! Jgn di download!!!"
116,Tony Tang,5,2022-10-10 02:29:42,"mantap Netflix.Semoga film,drama sama animenya dilengkapin lagi ya biar makin bagus kedepannya"
117,incess than,1,2022-10-09 11:22:21,"Ribet pembayarannya..aku awalnya pake gopay,,trus aku ubah pembayaran pake telkomsel,,eh waktu mau pakai gopay lagi gak bisa,katanya karna pernah ubah metode pembayaran dan di suruh pake akun gopay yang lainnya...kan sama2 bayarğŸ¤£ğŸ˜‚kocaaak emangğŸ˜‚ğŸ¤£ ribet seribet2nya"
118,Given Gracillys Haslim 7C,5,2022-10-08 23:40:02,"Netflix bagus baget .cuma pada masalahin "" gak ada film ini lho...."""
119,niko afit,1,2022-10-08 17:07:53,Bisa baik dikit gak sih masak pemgguna baru langsung di suruh langganan sama gak bisa nonton lagi
120,Ibnu M Antoni,5,2022-10-08 11:18:20,"yang kasih rate 1 siapa? dan kenapa ya? padahal ini bagus banget sambungin ketv, dan tanpa ada masalah sedikit pun"
121,CATHRIEN Nauli,5,2022-10-08 04:47:13,"Bagus bet nih, gk ada iklan."
122,Muhammad Intan Raja,2,2022-10-08 00:24:10,"Kecewa setelah di update harus mulai lg keanggotaan, padahal udh download banyak"
123,rudi diyo,1,2022-10-07 15:31:39,ini gimna cara masuknya hampir berhasil teruss padahal udah masukin gmail ikutin semua petunjuk tetep aja gak masuk masukk
124,Heru Prasetyo,4,2022-10-07 14:26:06,Agak ribet untuk rubah settingan warna subtitle. Tolong dibuatkan menu yg lebih gampang baru kasih bintang 5
125,ayu tunjung,1,2022-10-07 14:02:28,ngelag dari sore ampe malem udah pake wifi udah ganti sellular data.. tetep aja down
126,Agatta Destiani,5,2022-10-07 13:54:34,"Baguss banget semua drama, flm tuh lengkap semuaa, oiya tolong yaa Drama Jepang nya atau flm nya ditambahkan lagi, saya pengen nonton drama Toru Nakamura, tapi disitu hanya muncul 1 drama aja, tolong di perbarui lagi ya Versi Jepang nya biar lebih banyak ğŸ™ğŸ‡¯ğŸ‡µ semangat ğŸ”›ğŸ”¥"
127,Odink SNDA,2,2022-10-06 12:53:41,Aplikasi netflik bawaan hp yang berlokasi di daerah timur tengah menggunankan bahasa arab dan untuk dan saya berulang kali mencari untuk mengganti bahasa tidak menemukan tolong diperbaiki karna ridak semua bisa tulisan arab
128,Salsa Billa,1,2022-10-06 11:06:35,Udah langganan tpi gabisa dibuka Kan percuma
129,Sholeh Saputra,1,2022-10-05 14:44:53,"kenapa filmnya ga lengkap, seperti no body, expendables aja yang pertama ga ada"
130,Hadrianus Rosmawardi Dian Lestari,5,2022-10-05 12:32:53,"Filmnya banyak yang update. Jadi tambah seru aja kalo mw nonton, banyak banget pilihannya ğŸ‘ğŸ˜„"
131,Darin Fadhilah,5,2022-10-05 07:09:52,"Dear Netflix, please tambahin fitur perbesar dan kecilin subtitle. Biar lebih ramah ke mata yang sudah mulai tua ini seperti aplikasi tetangga. Biar bisa nonton di hp lagi. Sekarang cuman bisa di TV. Terima kasih!"
132,kurniaone 610,1,2022-10-04 14:56:26,"Aplikasi tidak bisa di buka, sudah isi email dan sandi malah menungu dan menunggu, sampai sekarang tidak bisa di buka aplikasinya, apakah ini aplikasi SAMPAH ??"
133,rachman halim,1,2022-10-04 13:57:08,Udh g bisa di akses lagi Tiap login gagal terus
134,Mas Diya,4,2022-10-04 12:30:15,"Koleksinya memang bagus, tapi nonton film di sini harus hati2 karena belakangan ini banyak sekali film yg adegan2-nya secara tidak langsung mengkampanyekan LGBT, yg seperti itu jmlnya di netflix jauh lebih banyak dibanding film di penyedia layanan lainnya."
135,fajar setiawan,3,2022-10-04 11:10:47,"Harusnya ada pengaturan ""Subtitle Appreance"" di Indonesia, kurang baik."
136,Meyke Yusuf,1,2022-10-04 07:22:16,Ini aplikasi apaan sih...sudah daftar..sudah update tetap gk bisa di buka aplikasinya buat di pake nonton..di hapus aja..ğŸ‘ğŸ‘ğŸ‘ğŸ‘
137,Ika Mahayana (Gajah),5,2022-10-04 07:18:45,"Tidak dapat sign in lagi setelah log out. Tidak berjalan aplikasinya. Saya sudah instal ulang di HP, akan tetapi di smart TV tetap bisa hanya sering berhenti. Situs juga tidak bisa dibuka."
138,Ami' Mience,2,2022-10-04 03:54:38,Ini kenapa gak bisa dibuka sih aplikasinya ğŸ˜¡ğŸ˜¡ğŸ˜¡
139,eric ismadani,1,2022-10-03 14:54:27,"Padahal Subs sama bahasa nya udah gue buat bahasa Indonesia, tapi tetap aja pas mutar film ada yang bahasa Jepang, china, thailand, malah ada yang bahasa Spanyol. Udah aplikasi nya bayar, engga bagus lagi."
140,bedjo,5,2022-10-03 14:19:02,bayar mah ogah ah mending uninstal. duit mah beliin beras aja sama bensin. wkwkwk. tapi tetap saya kasih bintang lima. terimakasih
141,Rendy Setiawan,1,2022-10-03 02:00:34,Tolong untuk pihak Netflix: ketika ingin melakukan penagihan.. jangan lakukan 2 kali dalam 1 hari.. jika begini trus saldo di rekening saya bisa habis.. terima kasih
142,amirah marsa,1,2022-10-02 14:35:25,"Td saya buka error trs, trs Saya coba uninstall dan saya instal lg malah gk bisa, gmn nih netflix paketan sy baru beli."
