,userName,score,at,content
275,Haswinda Sandra,4,2022-09-02 07:17:01,"Netflix kenapa susah sekali update payment nya, jadi harus batalin keanggotaan terus tiap bulan, baru daftar baru lagi baru bisa dipakai"
276,Bocil Kematian,1,2022-09-02 05:01:51,Subtitle Indonesia tolong sedikit ditambah hitam ya biar keliatan
277,Kyai Haji. Farid Rismawan,1,2022-09-02 01:39:48,Mau menikmati stone ocean dengan normal aja gak bisa gara2 netflix. Yaudahlah lanjut baca manga-nya aja abis cour 2 ini.
278,Repan Lipek,1,2022-09-01 19:03:16,daftar aja nggak tau. apk jelek daftar aja mau pake pulsa. mampus aja yg buat apk ini.taikkkkk taiiii
279,Hendra putra Sinambela,2,2022-09-01 14:44:03,Semua film yg dicari kurang lengkap semua
280,yeshlaw,1,2022-09-01 08:12:46,"saya kira bisa liat-liat dulu dalemnya, ternyata ga bisa. mana ribet banget buat acc dulu trus keluar apk lanjutnya di web. mohon maaf, tidak rekomen."
281,Muhammad Rafli,1,2022-08-31 09:50:02,"Mau liat filmÂ² harus bayar dulu ya? Sayang sih, lebih enak liatÂ² dulu baru nantinya mutusin buat berlangganan atau tidak"
282,Christian Yansen,2,2022-08-30 22:42:30,"setelah update, subtitle menyatu dengan background, waktu memasuki sebuah scene penuh dengan cahaya subtitle nya tidak kelihatan, semoga update kedepannya bisa balik seperti dulu lagi subtitle nya"
283,Junika ika,2,2022-08-30 16:54:44,Appnya error.mau berlangganan susahnya luar biasa
284,Song Dara,2,2022-08-30 16:43:53,"Kenapa tiba2 gabisa dibuka? Stuck di logo netflix, home nya ga muncul2"
285,Mohamad syafrizan Alwi,1,2022-08-30 10:21:42,"Aplikasi buruk,pelit,dan paling ribet cara masuknya,gw saranin ga usah download aplikasi pelit ini nanti nyesel"
286,Jesson Oktafian jayawinata,1,2022-08-30 09:35:41,"Film nya engga seruÂ² semua ketinggalan semua, update cuman sedikit, saya lebih memilih pindah ke Disney hostar lebih murah"
287,Lervia Izzy,1,2022-08-30 07:14:37,Lg enakÂ² ntn ke log out sendiri. Netflix ga jelas
288,LNJ Shopping,3,2022-08-30 04:02:25,"Subtittle nya di bikin warna kuning tebal saja tanpa background, klo warna putih dengan background jd kurang bagus saat menonton jd menutupi gambar dengan background hitam.hayo netflix berikan yg terbaik untuk penonton"
289,Zeneo Aiman,5,2022-08-29 14:01:01,"Bagus banget, tpi knp ya rating nya cuma dikitğŸ˜®â€ğŸ’¨"
290,Anindhitaa L.W,3,2022-08-29 08:45:24,Bagus tetapi film yang bagus jangan dihilangkan. Peter pan saya pernah nonton di netlfix sekarang tida ada.
291,Ayu Savira Maulidina,2,2022-08-28 14:09:20,Ga jelas kadang tiba-tiba ada film yg hilang. Pdhl pernah muncul berkali-kali tapi pas mau ditonton dicari ga ada. Kenapa ya kok gitu?
292,Teuku Arifian,1,2022-08-28 14:02:42,Harga langganan terlalu mahal. Dan filmnya pun jelek'
293,Valentino Hutapea,1,2022-08-28 12:53:19,"Gaya subtitle kualitasnya jelek banget, seperti kualitas kampungan Bagus gak udah dikasih background hitam disesuaikan aja warna fontnya seperti kuning, putih, merah dll. Jadi bisa milih sesuai selera dan kondisi videonya"
294,Refantiya Naurra,1,2022-08-27 14:26:07,Kok ga bisa yaa kak udh aku download trs daftar jg kok masih belum bisa masuk
295,Abdi Derma Saputra,1,2022-08-27 13:39:47,Di batalkan berlangganan pas mau berlangganan lagi malah stuck gabisa
296,Linda Taryuli Sitinjak,1,2022-08-27 05:39:33,"Aplikasi netflix saya tidak bisa dibuka, pdhl sudah di update yg terbaru, konyol bukan"
297,Siti Mai,1,2022-08-27 05:29:12,Sangat buruk tidak bisa di buka dari tadi mencoba masuk suruh masukkan email terus pantas aja banyak yg tidak suka Sama aplikasi ini
298,Ghozi Rohman,5,2022-08-26 20:01:01,"""Tekken : Bloodline"" keren banget, mantappp."
299,Naili muslimah,3,2022-08-26 16:44:03,Gak habis pikir lg. Padahal niatnya mau membayar tagihan bulanan.tp susahnya minta ampun. Padahal udah diikuti petunjuk pembayarannya. Tp ttp gak bs. Lama2 HP kebanting jg ni.
300,Ratna Trissiani,2,2022-08-26 14:54:07,sering eror. kadang film tiba2 banyak yg ilang. itu kenapa sih? aneh banget
301,Dimas Arizatama,2,2022-08-26 14:35:09,"Tadinya bintang 5 , setelah update kenapa gak bisa continue watching di film durasi panjang ?!"
302,Ayu Hanifah,5,2022-08-26 12:20:59,terima kasih untuk 1 thn gratisnya :) -tm
303,Fadhila Rahma Sabrina,3,2022-08-26 08:44:44,"minta tolong buat subtitle nya diperbaiki karena sebelumnya warnanya putih dengan blok hitam tapi sekarang blok hitamnya ga ada, bikin subtitle ga bisa dibaca. subtitle nya pada bermasalah baik ketika nonton drakor bahkan nonton dokumenter"
304,Amar Adelia,1,2022-08-25 16:36:49,Yang lain tidak berbayar. Yang ini berbayar. Lasih bintang 1 biar aplikasi di tutup
305,Gabriel13 Gamerz,1,2022-08-25 15:01:02,"aplikasi jelek, buat login aja susah, udah di daftar tinggal masuk doang ga bisa sandi nya, percuma udh berlangganan"
306,Ferry Yanto,2,2022-08-25 12:48:27,"Ku kasih â˜†2 karena kalo nonton anime apapun subtitle warna putih dan layarnya jyga warna putih hingga subtitlenya jd sulit di baca, tolong di respon masalah ini, jangan mau nya untung aja tapi merugikan netizen yg berlangganan"
307,Christinie Hutasoit,1,2022-08-25 11:59:11,Tolong dong Aplikasinya konsisten. Jangan kayak Aplikasi Sampahh... Kita bayar lohh.. Bukan gratisan... Kecewa... ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡
308,Berastagi Karo,1,2022-08-25 06:40:14,"Udah terdaftar akun gmail nya, eh terlogout sendiri"
309,MQGAME channel,5,2022-08-25 01:42:13,Tolong dong diatasi masalah nge frame dan delay saat memutar video dari segi lain nya udh bagus cuma masalah ini aja yg bikin kesel
310,Gabriel Steven,1,2022-08-24 15:41:28,Aplikasi murahan najiss. Udah bayar masih gak bisa nonton krn bug. Tutup aja semoga bangkrut sampah
311,Fatimah Azzachra,1,2022-08-24 14:14:28,Kenapa saya susah banget mau nonton di netflix dlu ga gini. Harus masuk email dlu dll malah butuh bantuan sama keluar aneh
312,Mela Sari,3,2022-08-24 13:33:31,"Netflix gimana nih, masa saya mau perpanjang langganan lewat DANA ngga bisa siiiih ğŸ˜­ğŸ˜­ğŸ˜­"
313,Arfina 69,1,2022-08-24 09:27:02,Sudah bayar dan saldo kepotong tapi tetap tidak bisa nonton saya merasa di tipu
314,sangadah ukhrowiyah,1,2022-08-24 09:20:22,kenapa punya saya bahasa tulisanya cina.. bagai mana cara ganti ke Indonesia
315,Indah Sri Rezeki,1,2022-08-24 08:26:46,"Apa cma aq yg udah bbrp hari ini netflix gk bisa kebuka, smp uninstal berulang x.. download berulang x tp ttp gk bisa"
316,wenny lestari,1,2022-08-24 07:47:42,"Karena satu dan lain hal saya harus relogin dan ribet sekali. Setelah memasukkan email dan pw, lalu muncul rincian paket dan setelah itu muncul halaman putih dengan tulisan selamat datang kembali dan stuck disitu. Trus mau nonton nya gimana???"
317,Yondri Sangir,4,2022-08-24 05:48:39,"Tolong tayangin film anime ONE PIECE, apalagi kalau sampai nayangin one piece RED, pasti bakalan panyak penonton netflik,. Karna film one piece banyak penggemarnya di indonesia.."
318,RiizzXD,2,2022-08-24 00:55:36,"Streaming mentok kualitas SD,pdhal hp support HD sama FHD,jaringan juga gada masalah"
319,Hann playlist,5,2022-08-23 16:31:06,"Lha kaget knapa netflix ratingnya cuma bintang 2,4 ? Padahal ini yg terbaik daripada aplikasi lainnya. Seriesnya juga bagus2, murah pula"
320,WAWAN ARDIYANSA,1,2022-08-23 11:18:00,Saking gak laku ya ini aplikasi setiap hp selalu ada .. Klau bukan bawaan hp ini aplikasi udah w unistal .. Gak ada guna ya buat w apk ya
321,dita putri,2,2022-08-23 11:08:00,"Netflixnya tbtb gabisa dibuka , udh di update uninstall ttp gbsa dibuka juga Kalo bisa dibuka dan lancar baru diubah ulasannya"
322,lucifer hades,1,2022-08-23 10:52:14,"Tolong netflix fitur game di hapus yg di apk hape, dan perbanyakin film atau series korea/thailand. Dan biaya berlangganan nya tolong di ganti jadi 200rb per tahun, contoh lah viu 200rb per tahun tapi series n film nya bagus2 untuk saat ini saya kasih rating â­ kalo netflix ga mau bikin perubahan."
323,Dian Kartika,4,2022-08-23 07:32:02,"Maaf, klu boleh tlong warna subtitleny yg cma warna putih diganti, karna klu bertabrakan sma background warna putih jdi tdk jelas dan tdk terbaca. Terimakasih"
324,Eka Saptanism,3,2022-08-22 21:34:18,"Mohon perbaiki atau tambah metode pembayaran yg lebih simpel dan mudah, karena gopay dll sering bermasalah saat transaksi"
325,Ajie Surabigaul,5,2022-08-22 14:35:14,"Suka sih bagus, terus keluarin karya terbaru dan aku suka film dokumenter nya sih keren"
326,Yogi Adi Pratama,1,2022-08-22 12:28:17,Aplikasi apa ini mau nonyon aja harus berlangganan percuma kaloa ada kuota tapi gk bisa nonton ğŸ˜ 
327,Lily kurniawan,3,2022-08-22 02:12:18,kenapa netflix saya tidak bisa continue watching? jadi kalau saya buka aplikasi netflixnya filmylnya selalu ngulang lagi dari awal. gimana cara agar bisa continue watchingğŸ˜­
328,M anas Anshori,1,2022-08-22 00:15:01,Ko saya tidak bisa masuk sih kenapa ya aneh email sudah di masukan tetap tidak bisa mohon perbaiki trimakasih
329,Aglee Dzul Akbar,5,2022-08-21 16:56:48,Tolong transpransi fontnya lebih tebal lagi dikarenakan untuk saat ini font terlalu tipis sehingga sulit dibaca pada saat gambarnya putih.
330,Mass Anam,3,2022-08-21 15:53:44,Stuck di 720p walaupun udah di setting di 4k. hp udah L1
331,Alia Aprilia,1,2022-08-21 14:16:54,"lemot, WIFI udah lancar tapi loading terus.mau nonton young woo ni elah, aarrgghhhh"
332,M Budiman,2,2022-08-21 09:00:49,"Halo ini saya kenapa tidak bisa login netflix nya ya,dan ada tulisan diluar jangkauan??"
333,Kurniawan Syahputra,2,2022-08-21 00:52:59,"Cemananya Netflix ni, gak bisa melanjutkan nonton film nya, padahal baru 2 hari saya download aplikasinya dan berlangganan"
334,ALman Maliki,1,2022-08-20 13:00:04,"Saya ingin nonton 3 idiots tapi tidak ada di penelusuran padahal waktu saya melihat di google ada yang bisa ditonton di Netflix, tidak spesial lagi seperti dulu, pengen pindah ke Disney saja.:("
335,Shadow of Light,5,2022-08-20 12:12:25,"Sekarang ada masalah, kenapa sekarang kalau saya keluar dari apk filmnya ga kesimpan, ketika saya masuk lagi di film yg sama, itu di mulai dari awal bukan dari terakhir kali di lihat"
336,Miranda Tirsya,2,2022-08-20 07:40:13,gambar nya kadang ga gerak sesuai audio nya.
337,Nabilaoktyara10,1,2022-08-20 03:19:43,Ini aplikasinya sangat bagus dan bisa nonton banyak Drakor
338,kikie 08,5,2022-08-19 16:23:54,"Bnyk film dan serial yg bgs, suka lost in space, sweet home, stranger things, dll. Saran Film korea dan thailand dibanyakin. Subtitel srkrg ada latar hitamnya kurang enak diliat."
339,Alvina Rachma,5,2022-08-19 08:10:41,Bagus terimakasih sudah menemani hari2 yang membosankan tapi saat ini Netflix saya sedang bermasalah sedikt bisa tolong di bantu tidak terima kasih
340,Hata dopo,2,2022-08-19 05:30:01,Mau tanya..netflix lg eror ya..aku langganan bulanan...ko baru seminggu sidah g bisa lg
341,Danendra Aurellio Dharmawani,5,2022-08-18 14:14:28,"Sangat bagus dari semua nya,tapi kurang di update flim terbaru cuman sangat bagus"
342,Dea yunita,5,2022-08-18 10:40:16,"Terimaksih, dengan ada nya Netflix membantu saya sebagai kaum yg suka nonton.."
343,Karlinda Himawati,3,2022-08-18 10:22:03,"Please deh ah, kalo teksnya itu letaknya disesuaikan dong, kadang fak kebaca, dah teksnya putih pas di scene-nya yg lagi warna putih, emosii lamaÂ²"
344,akumaru,1,2022-08-17 10:59:09,Subtitle menyatu dengan background jdi tidak begitu terlihat dan menjadi sulit untuk dibaca. Membuat penonton menjadi kurang menikmati.
345,Lina Diselmi,4,2022-08-17 06:02:10,"Uda dowload g bsa d buka, di update tetep g bisa di buka, nipu bgt si"
346,Fatur Ryan Maulana,3,2022-08-16 19:25:10,Dari semua kualitas si bagus tapi untuk subtitlenya kurang suka karna ada warna hitam di belakang subtilte mohon untuk subnya bisa diganti biar gak ada warna hitam nya. Subtitle yang berwarna hitam cuma di season terbaru untuk episode/season lama sudah ok. Mohon perbaikan nya supaya gak ada hitam hitam nya di belakang subtitle nya
347,Bram Carella,2,2022-08-16 16:00:25,"Untuk kualitas streaming video ok tidak pernah ada masalah, lancar lancar saja dan bisa 4k di smart tv, tapi untuk tv series amerika/western lama sekali rilis nya, kadang selisih 1 atau 2 hari setelah premiere, dan kadang juga subtitle indonesia nya tidak ada, baru ada subtitle indonesia setelah beberapa hari, dan untuk chat/dm via sosial media tidak pernah di respon, Jadi maaf ga bisa kasih bintang 5"
348,Arya 17,1,2022-08-16 12:41:05,Fitur buat HDnya g bisa padahal hp sy widevinenya sudah L1 tpi di netflixnya malah L3 tll dah
349,Bagas Eryan Bimantoro,5,2022-08-15 17:37:48,Netflix mantap dan kalau bisa text subtitle dikasi border warna hitam agar kalau film yang ditonton memiliki background putih subtitle film tersebut masih mudah di baca
350,Devi Irawan,2,2022-08-15 17:08:49,Aplikasi baru banget di download. Pas mau buka usah disuruh update versi terbaru. Hadeeeeehhhhh wasting time
351,Intan Rensi,4,2022-08-15 14:00:07,"Mau nanya kenapa netflix dihp saya gbisa login ya, eror terus tulisan nya di samsung A72 kartu telkomsel"
352,Supri Susanto,2,2022-08-15 09:23:23,Film film bagus banyak yang masih ga ada subtitel indonesianya.
353,Rahmad Suryadi,2,2022-08-14 18:28:39,"Kenapa setelah Update Ke Versi yang Baru subtitle menjadi ber background, sangat mengganggu"
354,Giovani Alfariiz,4,2022-08-13 16:54:01,Netflix keren . Gara gara Netflix aku sama Vera jadi bisa ktmu lama . Makasih Netflix . Makasih yaaaaaaaaaa
355,Jaza Sila,5,2022-08-13 08:50:33,"Mantap, enak bgt nntn disini. Banyak pilihan film, dan anti buffering"
356,Cahya Wulandari,5,2022-08-13 08:30:49,"film nya pada keren semua sih, apalagi series drakor nya ga ada yang gagal, semuanya bagus banget alur nya, thanks netflix"
357,Jimmy Entertainment,5,2022-08-13 04:05:09,"Aplikasi streaming terbaik. Pada saat pilih film bs lihat secara horisontal, dan koleksi filmnya bagus."
358,Marta Selah,1,2022-08-13 03:22:59,Gak bisa masuk akun padahal pendaftaran sama administrasi nya Uda di bayar.
359,AGlegend,5,2022-08-12 06:37:45,Tempat streaming favorit?? Yaa Netflix dong ğŸ˜ Harga?? Lumayan terjangkau dan tidak untuk di mendang mendingkan ğŸ—¿
360,Hendri usmantri,2,2022-08-12 03:37:16,"tolong dong developersnya,setelah di update versi,tulisan transletnya jangan putih doang,ga ada pinggir hitam,pas jumpa sama"" putih malah kagak nampak subtitlenya"
361,Andi Soetanto,5,2022-08-12 00:45:40,"Tolong dong untuk serial drama kungfu Mandarin seperti the ""long ballad"" dan ""word of honor"" ditambahkan teks/subtitle BHS indonesia"
362,Edo Chipung,4,2022-08-11 12:40:21,"Sederhana. Tetapi bikin tertarik. Itu aja sudah cukup. Harapan nya lebih baik daripada sebelumnya. Film laga Indonesia terkenal semenjak ada NetFlix "" se tau saya. Bukan so tau ^_^"
363,mila sari,1,2022-08-11 04:45:02,"tidak ada pengaturaan berlaganaan, susah sekali 2 kali coba tapi gagal mulu"
364,Ndari Rianti,1,2022-08-10 13:57:50,Aneh banget cari beberapa film ga muncul. Padahal di coba di laptop ada. Udah cek pengaturan tapi ga bermasalah
365,Kevin Adriyan,1,2022-08-10 12:41:16,"Saya belum melihat isi dari aplikasi ini, tapi sudah di haruskan untuk berlangganan saja. Masih lebih baik dysney+"
366,MHA Channel,1,2022-08-10 00:05:36,"Aplikasi ngga bermutu, berbayar tp layanan buruk. Server sering error, terutama pagi hari. Semoga dalam waktu dekat perusahaan ini bangkrut karena netflik meroket ketika covid19, dan saat ini covid19 sudah selesai dan orang2 telah kembali beraktifitas normal."
367,Yuliana Queen,1,2022-08-09 19:37:51,Klo mau nonton hrs berlangganan dulu... Pd hal niat mau lihat2 dulu film nya baru2 semua atau tdk... Mohon diperbaiki spy tnp berlangganan pun bs nonton. Krn klo dpt kuota streaming sia2 klo tdk terpakai buat nonton film.. Jd uninstall deh. Tdk spt apk yg lain msh bs nonton tnp berlangganan tp iklannya yg bnyk... Thx u
368,febrian rinaldy,2,2022-08-09 19:02:18,Subtitle setelah update terbaru mah susah kebaca.. Kalo background warna putih subtitle ga kebaca.. Kecewa
369,Yerry Semba,4,2022-08-09 08:19:28,Kenapa loading terus ni.... Cuman suara doang yg kedengeran... Gambar gk da
370,setya candra,5,2022-08-08 14:05:01,Klo ada yg gratis kenapa harus beli tapi tetep lah aku kasi bintang lima karena banyak film keluaran netflix bagus bagus
371,Lullaby 13,2,2022-08-08 13:48:01,"Pake apps di hp, Subtitle anime nyaru sama film nya jadi susah buat dibaca"
372,drew try,5,2022-08-08 07:40:11,Tolong di tambah opsi aspect ratio. Biar full di layar. Atau tambah opsi fit to screen. Biar puas nonton tanpa ada potongan hitam di tv / smartphone.
373,Cakap Lucu,1,2022-08-08 07:28:58,Kalo mau nonton film aja harus bayar mending gausah nonton aku.. Dan langsung hapus aja aok nya kalo begini caranya.. Mau nyari duit? Emang dari penghasilan download apk gak banyak apa? Masih minta duit lagi dari film.. Legal sih tapi gak suka kalo harus bayar dan cuman bertahan sebulan doang
374,Yesi Ramadhani,1,2022-08-08 01:47:44,"Netflix gak jelas,udah mendaftar email pun gak bisa masuk jg,udah berapa email yg dicoba tapi gak bisa masuk jg,mau masuk ke Netflix aja susah banget,sia sia di download tp gak bisa dibuka,jd di hapus lagi Netflix nya dari hp"
375,Muhammad Rifqi,3,2022-08-07 11:59:37,Apk nya bagus tapi banyak yang subtitle gak ada Indonesia jadi susah saya
376,Achmad Naufal,3,2022-08-07 11:12:20,"semuanya sudah oke, tolong ditambahkan pengaturan untuk ubah ukuran dan warna pada subtittle ya agar lebih memudahkan informasi yg didapat dari subtittle karna sering sekali warnanya sangat samar dengan video"
377,DWI CAHYONO 0604,5,2022-08-07 10:26:13,Aku suka kalo aplikasi ini banyak film2 luar negrinya kayak di Disney+. Sayangnya kalo langganan satu bulan harganya ga lebih murah dari Disney+.
378,Akairo,4,2022-08-07 05:33:38,"Sejauh ini fiturÂ² dan film&anime bagusÂ², tapi ada yg kurang yaitu teks subtitlenya, bisakah teks subtitlenya dibuat color nya jadi putih dan ditambah stroke di text nya bewarna hitam? Agar bisa membaca subtitle dengan jelas karena anime yang saya tonton sekarang susah saya baca subtitle nya yang malah kamuflase dengan animenya"
379,Siti Muthmainnah,4,2022-08-07 04:33:47,"Sejauh ini sudah puas sama pelayanan Netflix, tapi banyak banget yang pengen dibilang dari animenya di versi Inggris Tokyo ghoul re ada sementara di versi indo khususnya untuk pelayanan hape/tab tidak ada Tokyo ghoul re dan anime kakegurui season 1 juga tidak ada padahal sudah ada season 2nya, tolong di perhatikan lagi kelengkapan film atau animenya, Terimakasih."
380,Benta Rohma0304,2,2022-08-07 03:05:58,Terlalu sering memperbaharui..saya tdk pernah memkainya..ttpi sering memperbaharuinya..
381,Bilqis Asyakuru,2,2022-08-07 01:53:27,"Netflix nya jelek banget kalian jangan download sih kata ak mah ngeleg, memori penuh dan ak liat film ada bacaan yang hina nabi Muhammad Saw!! Dan saya ngomentarin nya cukup segitu saja ya, maaf klo Netflix sakit hati saya juga kaget ada film yang kaya gitu, saya ngomen nya segitu saja ya wassalamu'alaikum warahmatullahi wabarokatu ğŸ™ğŸ»â˜ºï¸"
382,Fathir Pradipta,1,2022-08-06 08:45:45,Kenapa ada lambang Allah SWT di lantai di film the umbrella the episode 3 saya tidak suka dengan begini ini sangat tidak bagus di download
383,Beri Sembiring,3,2022-08-06 07:46:30,Mohon bantuan dong App nya tidak bisa ke buka Setelah di klik cuma muncul tampilan awal gambar tulisan netflix nya aja
384,debby mutiara,1,2022-08-06 03:36:46,"Barbie as rapunzel ga bisa diputar, terus mau rekomendasi film kingkong 2005 jg."
385,Dewik Anjani,2,2022-08-06 02:45:32,Tolong benarkan lagi netflix-nya saya pingin masuk ke netflix tidak bisa sudah memasukkan akun dan segalanya tapi tetap saja tidak bisa tolong diperbaiki lagi
386,Danang Agung Kurniawan,1,2022-08-06 01:15:12,Sekarang Netflix gak nyimpan menit dan detik terakhir nonton video sampai mana
387,Utciha Afande,1,2022-08-05 17:25:02,Udh download kok gak bisa d liat ini netplik gmn kali apk y gua udh susuah2 donlod malah gk bisa padhl udh nulis e mail tapi ttp ngbisin kota ajh
388,íŒŒì¼Selenophile,5,2022-08-05 14:30:38,"series originalnya keren-keren, sebanding sama harganya. udah gitu designnya juga mudah buat ditelusuri dan enak dipandang. resolusinya bisa 4K dan lancar banget nontonnya. for your information, netflix ini memang platform berbayar jadi kalau mau cari film free disini ngga ada. soalnya biaya operasionalnya aja ga murah."
389,Novi Yansyah,1,2022-08-05 11:48:54,"Apk tolol, di suruh daftar tapi gk ada tombol daftar, mau masuk malah sandi email salah, padahal sandinya benar, saya login ke XXI, ke joox, ke bstation gk ada tuh salah sandi, kalau mau duit untuk daftar nya tinggal bilang, gk perlu di bikin ribet. Ngotak sikit lah buat apk udah gratisan banyak tingkah"
390,Julian Andhyka,1,2022-08-05 06:06:29,Gabisa masuk terus aneh... Tolong diperbaiki
391,mame magenta,3,2022-08-05 04:59:03,"Kenapa ada beberapa film yg hilang (sebelumnya ada, sekarang sudah gak ada lagi/gak komplit). Twilight saga, terakhir nonton des 2021 masih komplit, skrg agts eclipse dan breaking down tidak ada. Jadi mengurangi keseruan."
392,á´…Éªá´€Ê™ÊŸá´_9,1,2022-08-04 18:21:50,Ah tak kirain free nonton.tahu nya bayar.. Apk sebelah lebih update Gak ribet free no ADS..
393,Abu Rizal,1,2022-08-04 17:08:41,Kok nonton baru dapat 10 min kok gabar GK ada cuma suara dong percuma dong udah bayar
394,Valentino Sinaga,1,2022-08-04 13:50:00,Appalah Netflix ini masa ga bisa masuk uda pake akun email kek koncol
395,andie life is journey,1,2022-08-04 12:58:41,Indo sudah ga bisa buka ya meski pakai vpn juga ga bisa
396,Cah Yadi,3,2022-08-04 10:03:51,"Apa apa ini pas masuk nyuruh masukin akun google dan pas daftar sandi salah Mulu padahal udah di coba beberapa kali, walaupun ku coba dengan ganti sandi akun google dadakan tetep sandi salah Mulu ni programer nya pada ngapain sii"
397,Asep Sikasep,3,2022-08-04 08:56:17,Setelah terakhir update daftar film yang sedang saya tonton jadi hilang semua terus pas di cari lagi ko malah g ada film y
398,Lidya Tjili,3,2022-08-04 01:51:07,"Kenapa sekarang jadi makin aneh, setiap abis pake wifi 1st media, apa yang gua tonton ga bisa play. Sebelumnya baik2 aja. Kenapa sekarang gini ya"
399,Humaira rose permata sari hadayatullah,4,2022-08-03 14:23:14,"Baguss sekali karna mahal wkwk Yg liat bawah Artinya manusia , tpi syng filmÂ² populer yg old lamaÂ² hilang"
